D30 (baseline);D30-R30;D15-R30;D10-R30;D6-R30;D3-R30;R30;
1.0;0.9;0.9;0.9;0.9;0.9;0.7142857142857143;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.8888888888888888;0.8888888888888888;0.875;0.875;0.875;0.875;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.875;0.875;0.875;0.8571428571428571;0.8571428571428571;0.8571428571428571;
1.0;0.8571428571428571;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;
1.0;0.875;0.875;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;
1.0;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.8571428571428571;0.8571428571428571;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;
1.0;0.7142857142857143;0.6666666666666666;0.7142857142857143;0.7142857142857143;0.6666666666666666;0.6666666666666666;
1.0;0.8571428571428571;0.8571428571428571;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;0.75;1.0;1.0;0.75;
1.0;0.8571428571428571;0.5;0.8571428571428571;0.5;0.5;0.5;
1.0;0.875;0.875;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;
1.0;1.0;0.8;0.8;0.8;0.8;0.8;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.875;0.875;0.8;0.8;0.8;0.8;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.6;
1.0;0.8333333333333334;0.8;0.8;0.8;0.8;0.8;
1.0;0.8;0.8;0.8;0.8;0.8;0.8;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.8333333333333334;0.8333333333333334;0.8;0.8;0.8;0.8;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
1.0;1.0;1.0;1.0;1.0;1.0;1.0;
